stock_name	yyyymmdd	final_price	start_price	high_price	low_price	trade_volume	KR_TREASURE_BOND_3Y
KODEX 200	2002-10-14	7750	7800	8000	7590	2577230	5.36
KODEX 200	2002-10-15	7940	7850	7980	7700	2288769	5.38
KODEX 200	2002-10-16	7970	8040	8040	7910	2039150	5.4
KODEX 200	2002-10-17	8080	7980	8180	7870	2091777	5.5
KODEX 200	2002-10-18	8430	8300	8500	8250	1321300	5.49
KODEX 200	2002-10-21	8200	8400	8400	8200	2137690	5.45
KODEX 200	2002-10-22	8020	8350	8350	7950	2614198	5.45
KODEX 200	2002-10-23	8260	8020	8260	7910	2503840	5.46
KODEX 200	2002-10-24	8230	8300	8370	8120	2170712	5.43
KODEX 200	2002-10-25	8260	8130	8360	8130	2354690	5.4
KODEX 200	2002-10-28	8560	8400	8590	8360	3199585	5.37
KODEX 200	2002-10-29	8500	8500	8620	8460	3627430	5.35
KODEX 200	2002-10-30	8300	8490	8490	8230	4329093	5.35
KODEX 200	2002-10-31	8260	8370	8460	8230	3029490	5.33
KODEX 200	2002-11-01	8150	8260	8280	8130	3225670	5.31
KODEX 200	2002-11-04	8480	8250	8510	8250	2269178	5.35
KODEX 200	2002-11-05	8380	8520	8520	8330	2563082	5.34
KODEX 200	2002-11-06	8630	8460	8660	8460	2304036	5.35
KODEX 200	2002-11-07	8630	8600	8730	8520	1661120	5.28
KODEX 200	2002-11-08	8500	8500	8510	8380	2400150	5.24
KODEX 200	2002-11-11	8290	8450	8460	8240	1853510	5.23
KODEX 200	2002-11-12	8280	8130	8300	8100	1822470	5.2
KODEX 200	2002-11-13	8230	8320	8320	8130	1961270	5.17
KODEX 200	2002-11-14	8240	8210	8330	8190	2938990	5.18
KODEX 200	2002-11-15	8500	8400	8520	8360	3091223	5.27
KODEX 200	2002-11-18	8410	8510	8590	8390	2881050	5.24
KODEX 200	2002-11-19	8480	8370	8520	8370	1955333	5.22
KODEX 200	2002-11-20	8670	8480	8680	8430	1973520	5.24
KODEX 200	2002-11-21	8780	8800	8910	8770	2013993	5.27
KODEX 200	2002-11-22	8810	8950	8980	8790	2048511	5.3
KODEX 200	2002-11-25	8970	8870	8980	8840	1614530	5.37
KODEX 200	2002-11-26	8910	9000	9000	8830	1989650	5.35
KODEX 200	2002-11-27	8990	8840	8990	8820	1920430	5.39
KODEX 200	2002-11-28	9080	9180	9220	9050	2287691	5.41
KODEX 200	2002-11-29	9200	9070	9200	9040	3572400	5.35
KODEX 200	2002-12-02	9260	9220	9280	9120	1890037	5.39
KODEX 200	2002-12-03	9350	9260	9370	9230	2058651	5.4
KODEX 200	2002-12-04	9070	9220	9220	9060	2062200	5.37
KODEX 200	2002-12-05	9160	9050	9170	9000	2160531	5.39
KODEX 200	2002-12-06	9110	9110	9170	9020	2150200	5.39
KODEX 200	2002-12-09	8970	9080	9160	8920	2554510	5.34
KODEX 200	2002-12-10	8910	8860	8940	8800	3021420	5.34
KODEX 200	2002-12-11	8840	8950	8950	8800	2131200	5.31
KODEX 200	2002-12-12	8970	8890	9010	8870	3723486	5.3
